"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.151215100E-2,-2.239681959E0,7.657032460E-2,8.757730484E0,9.039904951E0
1.388762000E-2,1.378265858E0,-1.545763373E0,1.218425274E1,1.235900546E1
1.626308800E-2,-4.307080805E-1,4.785645381E-2,6.288337708E0,6.303252400E0
1.863923400E-2,-5.359922647E-1,-1.301695466E0,1.339502144E1,1.346878978E1
2.101485900E-2,1.732403636E0,-3.684946895E-1,6.230910301E0,6.477750680E0
2.339048400E-2,-2.411965132E0,-6.604190469E-1,1.280638695E1,1.304826716E1
2.576610900E-2,2.469393015E0,-8.279166222E-1,8.599804878E0,8.985543486E0
2.814173400E-2,-2.469393015E0,-9.092725813E-2,1.023649502E1,1.053052705E1
3.051741100E-2,2.091326952E0,-1.502692580E0,1.137069321E1,1.165866190E1
3.289303600E-2,-1.430907965E0,6.699903309E-2,7.293323517E0,7.432668054E0
3.526866100E-2,9.092725813E-2,-1.383051515E0,1.303609753E1,1.310957429E1
3.764428600E-2,7.657032609E-1,-2.727817893E-1,5.690132141E0,5.747896587E0
4.001991100E-2,-1.718046665E0,-9.571290612E-1,1.342852020E1,1.357176979E1
4.239553600E-2,2.263610125E0,-6.843472719E-1,7.264609337E0,7.639817459E0
4.477116100E-2,-2.904886723E0,-4.785645381E-2,1.149033451E1,1.185193842E1
4.714678600E-2,2.344966173E0,-1.478764415E0,1.015992451E1,1.053136632E1
4.952241100E-2,-2.048256159E0,1.148554832E-1,8.709874153E0,8.948209477E0
5.189803600E-2,9.523434043E-1,-1.622333765E0,1.269153118E1,1.283019441E1
5.427366100E-2,-4.115654826E-1,-3.828516230E-2,6.197410583E0,6.211179424E0
5.664933800E-2,-1.091127157E0,-1.167697430E0,1.315573883E1,1.325245411E1
5.902496300E-2,2.014756680E0,-6.029912829E-1,6.474977970E0,6.807949962E0
6.140058800E-2,-2.378465652E0,-5.168496966E-1,1.257188988E1,1.280533668E1
6.377621300E-2,2.478964329E0,-1.000199914E0,8.781659126E0,9.179498953E0
6.615183800E-2,-2.746960402E0,1.292124242E-1,9.767501831E0,1.014724491E1
6.852746300E-2,1.904686809E0,-1.684547186E0,1.205025482E1,1.231560686E1
7.090308800E-2,-9.667003751E-1,-1.435693540E-2,7.188039303E0,7.252766697E0
7.327866100E-2,-1.818545163E-1,-1.244267821E0,1.328495121E1,1.334433221E1
7.565433800E-2,9.092726111E-1,-3.684946895E-1,5.790630817E0,5.873156756E0
7.802996300E-2,-1.631905079E0,-9.667003751E-1,1.299302673E1,1.313074132E1
8.040558800E-2,2.694318295E0,-7.274180651E-1,7.695317745E0,8.185743907E0
8.278121300E-2,-2.656033039E0,3.828516230E-2,1.099741268E1,1.131366709E1
8.515689100E-2,2.330609322E0,-1.454836130E0,1.029392338E1,1.065425485E1
8.753251600E-2,-1.813759565E0,8.614161611E-2,8.489734650E0,8.681747437E0
8.990814100E-2,1.014556766E0,-1.502692580E0,1.316530991E1,1.328957469E1
9.228376600E-2,3.828516230E-2,-1.770688742E-1,6.254838467E0,6.257461417E0
9.465939100E-2,-1.177268744E0,-1.028913736E0,1.315095329E1,1.324357194E1
9.703501600E-2,2.182254314E0,-6.604190469E-1,6.570691109E0,6.955024720E0
9.941064100E-2,-1.966900229E0,-3.254238665E-1,1.226560879E1,1.242657459E1
1.017862660E-1,2.675175667E0,-1.244267821E0,8.796015739E0,9.277643028E0
1.041618910E-1,-2.603390932E0,4.259224236E-1,9.547362328E0,9.905108867E0
1.065375160E-1,1.598405480E0,-1.756331801E0,1.212203979E1,1.235246738E1
1.089131930E-1,-5.742774606E-1,1.914258115E-2,7.341179848E0,7.363632432E0
1.112888180E-1,-3.110669553E-1,-1.301695466E0,1.346201992E1,1.352838328E1
1.136644430E-1,1.076770186E0,-3.637090325E-1,6.163911343E0,6.267816313E0
1.160400680E-1,-1.928615093E0,-7.704889178E-1,1.261017513E1,1.278005189E1
1.184156930E-1,2.670390129E0,-9.092726111E-1,7.853243828E0,8.344531068E0
1.207913180E-1,-2.455035925E0,2.440679073E-1,1.062891865E1,1.091149312E1
1.231669430E-1,2.158325911E0,-1.569691658E0,1.056191921E1,1.089387168E1
1.255425680E-1,-1.890329838E0,3.062812984E-1,8.044670105E0,8.269454167E0
1.279181930E-1,3.637090325E-1,-1.497906923E0,1.332802200E1,1.341686178E1
1.302938180E-1,3.349951804E-1,-1.387837082E-1,6.494120598E0,6.504235930E0
1.326694430E-1,-1.531406522E0,-9.619147182E-1,1.304088306E1,1.316567951E1
1.350451200E-1,1.947757602E0,-5.790630579E-1,6.896114826E0,7.189260977E0
1.374207450E-1,-2.210968018E0,-2.440679073E-1,1.163868904E1,1.184934729E1
1.397963700E-1,2.593819857E0,-1.239482164E0,9.198010445E0,9.636784403E0
1.421719950E-1,-2.474178553E0,4.211367965E-1,9.006584167E0,9.349731230E0
1.445476200E-1,1.191625714E0,-1.545763373E0,1.228953743E1,1.244355602E1
1.469232450E-1,-6.029912829E-1,2.392822690E-2,7.025327206E0,7.051198011E0
1.492988700E-1,-6.077769399E-1,-1.158126116E0,1.350509071E1,1.356827639E1
1.516744950E-1,1.296909928E0,-4.881358147E-1,6.652047157E0,6.794849764E0
1.540501200E-1,-2.143969059E0,-5.694918036E-1,1.227517986E1,1.247401158E1
1.564256930E-1,2.450250387E0,-9.523434043E-1,8.149953842E0,8.563435791E0
1.588013700E-1,-2.282752752E0,1.004985496E-1,1.005942631E1,1.031567340E1
1.611770470E-1,2.081755638E0,-1.708475351E0,1.092562866E1,1.125264219E1
1.635526720E-1,-1.507478237E0,3.828516304E-1,7.709674358E0,7.864994896E0
1.659282970E-1,-1.531406492E-1,-1.483550072E0,1.322273827E1,1.330658409E1
1.683039220E-1,6.795616150E-1,-2.823530734E-1,6.675975323E0,6.716410779E0
1.706795470E-1,-1.560120344E0,-1.048056364E0,1.305045509E1,1.318509673E1
1.730551720E-1,2.072184324E0,-7.082754970E-1,7.503891945E0,7.816904526E0
1.754307970E-1,-2.411965132E0,-2.057827413E-1,1.102134132E1,1.128405454E1
1.778064220E-1,2.517249346E0,-1.579262972E0,9.552147865E0,1.000370655E1
1.801820470E-1,-1.914258122E0,3.014956415E-1,8.595019341E0,8.810768482E0
1.825576720E-1,9.523434043E-1,-1.746760488E0,1.261496067E1,1.277087949E1
1.849332970E-1,-3.014956415E-1,3.349951655E-2,6.771687984E0,6.778479180E0
1.873089740E-1,-1.062413216E0,-1.339980721E0,1.334716511E1,1.345626570E1
1.896845990E-1,1.837687731E0,-5.359922647E-1,7.441678524E0,7.683941902E0
1.920602240E-1,-2.091326952E0,-6.508477330E-1,1.208854008E1,1.228535927E1
1.944358490E-1,2.383251429E0,-1.076770186E0,8.542376518E0,8.933729232E0
1.968114740E-1,-2.287538528E0,1.244267747E-1,9.494720459E0,9.767191568E0
1.991870990E-1,2.143969059E0,-1.885544300E0,1.135155106E1,1.170510965E1
2.015627240E-1,-9.571290612E-1,2.536391914E-1,7.207181931E0,7.274881460E0
2.039383490E-1,-4.259224236E-1,-1.368694544E0,1.345723438E1,1.353336218E1
2.063139740E-1,9.954141974E-1,-3.302095234E-1,6.675975323E0,6.757849825E0
2.086895990E-1,-1.655833244E0,-1.057627559E0,1.306481171E1,1.321172452E1
2.110652240E-1,2.330609322E0,-8.279166222E-1,8.293522835E0,8.654461667E0
2.134408490E-1,-2.340180635E0,-5.264209956E-2,1.064806080E1,1.090231239E1
2.158165260E-1,2.297109842E0,-1.603191137E0,9.987641335E0,1.037303788E1
2.181921510E-1,-1.512263894E0,1.722832322E-1,8.097311974E0,8.239119176E0
2.205677760E-1,8.470591903E-1,-1.641476393E0,1.296909904E1,1.309998031E1
2.229434010E-1,1.339980662E-1,5.742774159E-2,6.465406895E0,6.467050312E0
2.253190260E-1,-1.564906001E0,-1.177268744E0,1.339023590E1,1.353267564E1
2.276946510E-1,1.923829436E0,-5.838487148E-1,7.633104324E0,7.893432754E0
2.300702760E-1,-2.110469580E0,-4.929214716E-1,1.211725426E1,1.230954525E1
2.324459010E-1,2.306680918E0,-1.162911773E0,9.231510162E0,9.586131677E0
2.348215260E-1,-2.378465652E0,2.201396823E-1,8.977870941E0,9.290195207E0
2.371971510E-1,1.674975872E0,-1.808973908E0,1.178225899E1,1.203742321E1
2.395727760E-1,-4.881358147E-1,2.440679073E-1,6.853044033E0,6.874740594E0
2.419484530E-1,-7.465606928E-1,-1.397408366E0,1.345723438E1,1.355017565E1
2.443240780E-1,1.220339537E0,-2.057827413E-1,6.556334019E0,6.672112925E0
2.466997030E-1,-2.091326952E0,-8.949156404E-1,1.297867012E1,1.317650942E1
2.490753280E-1,2.517249346E0,-8.135597110E-1,8.796015739E0,9.185222728E0
